source	target	weight
j_o	j_O	9.204216e-04
k_w	kwh	2.146560e-02
h_i	h_I	2.681873e-04
h_i	h_i	4.128605e-04
c_o	tsh_O	9.204216e-04
n_i	n_I	2.681876e-04
n_i	n_i	4.128644e-04
c_i	tsh_I	2.681873e-04
c_i	tsh_i	4.128605e-04
j_a	j_6	1.047940e-03
d_e	t_E	9.207061e-04
e_u	E_:u	4.336662e-03
j_e	j_E	9.207061e-04
f	f	1.721444e-02
h_o	h_O	9.204216e-04
h_e	h_E	9.207061e-04
j_u	j_u	4.128498e-04
j_u	j_U	2.681920e-04
b_a	p_6	1.047940e-03
i_u	i_:u	4.924253e-03
b	p	1.721444e-02
c_a	tsh_6	1.047940e-03
c_u	tsh_u	4.128498e-04
c_u	tsh_U	2.681920e-04
h_u	h_u	4.128498e-04
h_u	h_U	2.681920e-04
s_e	s_E	9.207061e-04
f_o	f_O	9.204216e-04
k_u	kh_U	2.681922e-04
k_u	kh_u	4.128537e-04
f_i	f_i	4.128605e-04
f_i	f_I	2.681873e-04
k_i	kh_I	2.681876e-04
k_i	kh_i	4.128644e-04
d	t	1.721444e-02
c	tsh	1.721444e-02
l_i	l_I	2.681873e-04
l_i	l_i	4.128605e-04
h_a	h_6	1.047940e-03
m_i	m_I	2.681874e-04
m_i	m_i	4.128617e-04
l_o	l_O	9.204216e-04
o_i	O_:i	4.337540e-03
g_i	k_i	4.128694e-04
g_i	k_I	2.681879e-04
l	l	1.721444e-02
w_o	w_O	9.204235e-04
f_u	f_U	2.681920e-04
f_u	f_u	4.128498e-04
n_e	n_E	9.207126e-04
n_u	n_U	2.681922e-04
n_u	n_u	4.128537e-04
o_m	O_:m	4.248775e-03
n	n	1.721441e-02
n	:n	2.654176e-02
m_a	m_6	1.047943e-03
d_i	t_I	2.681873e-04
d_i	t_i	4.128605e-04
p_i	ph_I	2.681874e-04
p_i	ph_i	4.128617e-04
g_a	k_6	1.047962e-03
m_e	m_E	9.207082e-04
p_u	ph_U	2.681921e-04
p_u	ph_u	4.128510e-04
b_u	p_u	4.128498e-04
b_u	p_U	2.681920e-04
g_o	k_O	9.204363e-04
l_u	l_U	2.681920e-04
l_u	l_u	4.128498e-04
k_o	kh_O	9.204281e-04
w	w	1.721443e-02
z	ts	1.721444e-02
i_t	i_:t_}	4.882195e-03
p_e	ph_E	9.207082e-04
s_i	s_I	2.681873e-04
s_i	s_i	4.128605e-04
t_a	th_6	1.047943e-03
n_o	n_O	9.204281e-04
b_e	p_E	9.207061e-04
a_p	6_:p_}	4.105882e-03
o_n	O_:n	4.248782e-03
w_i	w_I	2.681874e-04
w_i	w_i	4.128617e-04
u_m	u_:m	4.882216e-03
i_m	i_:m	4.882195e-03
p_o	ph_O	9.204236e-04
g_w	kw	2.146560e-02
b_i	p_i	4.128605e-04
b_i	p_I	2.681873e-04
s	s	1.721444e-02
c_e	tsh_E	9.207061e-04
t_u	th_u	4.128510e-04
t_u	th_U	2.681921e-04
u_t	u_:t_}	4.882216e-03
n_g	N=	2.717164e-04
n_g	N	2.146560e-02
n_g	:N	4.890895e-02
e_k	E_:k_}	4.270917e-03
a_u	6_:u	4.204338e-03
b_o	p_O	9.204216e-04
d_u	t_U	2.681920e-04
d_u	t_u	4.128498e-04
o_t	O_:t_}	4.248775e-03
a_n	6_:n	4.105891e-03
k_e	kh_E	9.207126e-04
z_a	ts_6	1.047940e-03
u_n	u_:n	4.882218e-03
a	6	3.177811e-03
o_k	O_:k_}	4.271580e-03
p	ph	1.721443e-02
p	:p_}	2.654179e-02
k_a	kh_6	1.047950e-03
e_o	8	4.890895e-02
e_m	E_:m	4.248093e-03
e_p	E_:p_}	4.248093e-03
f_e	f_E	9.207061e-04
g	k	1.721437e-02
h	h	1.721444e-02
e_t	E_:t_}	4.248093e-03
t	th	1.721443e-02
t	:t_}	2.654179e-02
l_e	l_E	9.207061e-04
e_n	E_:n	4.248100e-03
i_n	i_:n	4.882197e-03
j_i	j_I	2.681873e-04
j_i	j_i	4.128605e-04
z_o	ts_O	9.204216e-04
i	I	1.506252e-03
i	:i	2.457374e-02
i	i	1.547145e-03
d_o	t_O	9.204216e-04
t_e	th_E	9.207082e-04
z_i	ts_I	2.681873e-04
z_i	ts_i	4.128605e-04
m_o	m_O	9.204236e-04
e_i	e_:i	5.434328e-03
y_u	y	4.890895e-02
k	kh	1.721441e-02
k	:k_}	2.609215e-02
p_a	ph_6	1.047943e-03
f_a	f_6	1.047940e-03
l_a	l_6	1.047940e-03
o_p	O_:p_}	4.248775e-03
g_u	k_U	2.681925e-04
g_u	k_u	4.128587e-04
u_k	U_:k_}	5.071392e-03
w_a	w_6	1.047943e-03
o_e	9	4.890895e-02
w_e	w_E	9.207081e-04
t_o	th_O	9.204236e-04
s_a	s_6	1.047940e-03
z_u	ts_u	4.128498e-04
z_u	ts_U	2.681920e-04
e	E	3.143334e-03
s_o	s_O	9.204216e-04
m	m=	2.717164e-04
m	m	1.721443e-02
m	:m	2.654179e-02
j	j	1.721444e-02
s_u	s_u	4.128498e-04
s_u	s_U	2.681920e-04
d_a	t_6	1.047940e-03
i_p	i_:p_}	4.882195e-03
u_p	u_:p_}	4.882216e-03
m_u	m_U	2.681921e-04
m_u	m_u	4.128510e-04
t_i	th_I	2.681874e-04
t_i	th_i	4.128617e-04
n_a	n_6	1.047950e-03
g_e	k_E	9.207208e-04
i_k	I_:k_}	5.071405e-03
u_i	u_:i	4.924352e-03
u	U	1.506190e-03
u	u	1.547131e-03
u	:u	2.457504e-02
o_u	o_:u	5.434328e-03
a_m	6_:m	4.105882e-03
w_u	w_U	2.681921e-04
w_u	w_u	4.128510e-04
o	O	3.143616e-03
a_k	6_:k_}	4.131505e-03
z_e	ts_E	9.207061e-04
a_i	6_:i	4.204663e-03
a_t	6_:t_}	4.105882e-03
a_a	a	4.890895e-02
b_a,p_6	#	5.000000e-01
b_a,p_6	n_g,:N	5.000000e-01
t_u,th_U	n_g,:N	1.000000e+00
o_p,O_:p_}	#	1.000000e+00
g_a,k_6	#	5.000000e-01
g_a,k_6	n_g,:N	5.000000e-01
i_p,i_:p_}	#	1.000000e+00
d_e,t_E	n_g,:N	5.000000e-01
d_e,t_E	#	5.000000e-01
o,O	#	5.000000e-01
o,O	n_g,:N	5.000000e-01
c_a,tsh_6	#	5.000000e-01
c_a,tsh_6	n_g,:N	5.000000e-01
m_i,m_I	n_g,:N	1.000000e+00
u,:u	#	1.000000e+00
i_k,I_:k_}	#	1.000000e+00
e_u,E_:u	#	1.000000e+00
l_u,l_u	#	1.000000e+00
a_i,6_:i	#	1.000000e+00
j_i,j_I	n_g,:N	1.000000e+00
m_i,m_i	#	1.000000e+00
o_u,o_:u	#	1.000000e+00
s,s	o_p,O_:p_}	1.449275e-02
s,s	u_n,u_:n	1.449275e-02
s,s	o_m,O_:m	1.449275e-02
s,s	e_k,E_:k_}	1.449275e-02
s,s	o_t,O_:t_}	1.449275e-02
s,s	e_t,E_:t_}	1.449275e-02
s,s	e_i,e_:i	1.449275e-02
s,s	u_t,u_:t_}	1.449275e-02
s,s	a_n,6_:n	1.449275e-02
s,s	o_k,O_:k_}	1.449275e-02
s,s	u_k,U_:k_}	1.449275e-02
s,s	a_u,6_:u	1.449275e-02
s,s	o_e,9	1.304348e-01
s,s	i_n,i_:n	1.449275e-02
s,s	i_t,i_:t_}	1.449275e-02
s,s	e_m,E_:m	1.449275e-02
s,s	u_m,u_:m	1.449275e-02
s,s	i_u,i_:u	1.449275e-02
s,s	y_u,y	1.304348e-01
s,s	e_p,E_:p_}	1.449275e-02
s,s	u_i,u_:i	1.449275e-02
s,s	e_o,8	1.304348e-01
s,s	a_p,6_:p_}	1.449275e-02
s,s	a_t,6_:t_}	1.449275e-02
s,s	u_p,u_:p_}	1.449275e-02
s,s	a_i,6_:i	1.449275e-02
s,s	a_a,a	1.304348e-01
s,s	a_k,6_:k_}	1.449275e-02
s,s	e_u,E_:u	1.449275e-02
s,s	o_u,o_:u	1.449275e-02
s,s	e_n,E_:n	1.449275e-02
s,s	o_n,O_:n	1.449275e-02
s,s	o_i,O_:i	1.449275e-02
s,s	i_p,i_:p_}	1.449275e-02
s,s	i_k,I_:k_}	1.449275e-02
s,s	a_m,6_:m	1.449275e-02
s,s	i_m,i_:m	1.449275e-02
w_i,w_I	n_g,:N	1.000000e+00
f_a,f_6	n_g,:N	5.000000e-01
f_a,f_6	#	5.000000e-01
f_o,f_O	n_g,:N	5.000000e-01
f_o,f_O	#	5.000000e-01
h_i,h_I	n_g,:N	1.000000e+00
i,:i	#	1.000000e+00
k_w,kwh	u_n,u_:n	1.265823e-02
k_w,kwh	u,u	1.265823e-02
k_w,kwh	i,I	1.265823e-02
k_w,kwh	e_p,E_:p_}	1.265823e-02
k_w,kwh	u_i,u_:i	1.265823e-02
k_w,kwh	o_t,O_:t_}	1.265823e-02
k_w,kwh	o_m,O_:m	1.265823e-02
k_w,kwh	e_k,E_:k_}	1.265823e-02
k_w,kwh	u_t,u_:t_}	1.265823e-02
k_w,kwh	e_i,e_:i	1.265823e-02
k_w,kwh	o_k,O_:k_}	1.265823e-02
k_w,kwh	u,U	1.265823e-02
k_w,kwh	u_m,u_:m	1.265823e-02
k_w,kwh	i_t,i_:t_}	1.265823e-02
k_w,kwh	e_m,E_:m	1.265823e-02
k_w,kwh	a_a,a	1.139241e-01
k_w,kwh	a_k,6_:k_}	1.265823e-02
k_w,kwh	o,O	2.531646e-02
k_w,kwh	y_u,y	1.139241e-01
k_w,kwh	a,6	2.531646e-02
k_w,kwh	e_n,E_:n	1.265823e-02
k_w,kwh	i_n,i_:n	1.265823e-02
k_w,kwh	a_u,6_:u	1.265823e-02
k_w,kwh	o_e,9	1.139241e-01
k_w,kwh	e_o,8	1.139241e-01
k_w,kwh	a_p,6_:p_}	1.265823e-02
k_w,kwh	a_m,6_:m	1.265823e-02
k_w,kwh	i_k,I_:k_}	1.265823e-02
k_w,kwh	i_p,i_:p_}	1.265823e-02
k_w,kwh	a_t,6_:t_}	1.265823e-02
k_w,kwh	u_p,u_:p_}	1.265823e-02
k_w,kwh	e,E	2.531646e-02
k_w,kwh	o_u,o_:u	1.265823e-02
k_w,kwh	i,i	1.265823e-02
k_w,kwh	i_m,i_:m	1.265823e-02
k_w,kwh	o_p,O_:p_}	1.265823e-02
k_w,kwh	a_n,6_:n	1.265823e-02
k_w,kwh	e_t,E_:t_}	1.265823e-02
k_w,kwh	o_n,O_:n	1.265823e-02
k_w,kwh	u_k,U_:k_}	1.265823e-02
k_w,kwh	a_i,6_:i	1.265823e-02
k_w,kwh	e_u,E_:u	1.265823e-02
k_w,kwh	i_u,i_:u	1.265823e-02
k_w,kwh	o_i,O_:i	1.265823e-02
y_u,y	p,:p_}	1.111111e-01
y_u,y	k,:k_}	1.111111e-01
y_u,y	#	1.111111e-01
y_u,y	m,:m	1.111111e-01
y_u,y	t,:t_}	1.111111e-01
y_u,y	n_g,:N	1.111111e-01
y_u,y	n,:n	1.111111e-01
y_u,y	u,:u	1.111111e-01
y_u,y	i,:i	1.111111e-01
p_u,ph_u	#	1.000000e+00
a_t,6_:t_}	#	1.000000e+00
m,:m	#	1.000000e+00
z_o,ts_O	n_g,:N	5.000000e-01
z_o,ts_O	#	5.000000e-01
n_o,n_O	#	5.000000e-01
n_o,n_O	n_g,:N	5.000000e-01
n_g,:N	#	1.000000e+00
e_p,E_:p_}	#	1.000000e+00
n_g,N=	#	1.000000e+00
t_u,th_u	#	1.000000e+00
e_k,E_:k_}	#	1.000000e+00
m_e,m_E	n_g,:N	5.000000e-01
m_e,m_E	#	5.000000e-01
e,E	n_g,:N	5.000000e-01
e,E	#	5.000000e-01
a_n,6_:n	#	1.000000e+00
o_e,9	k,:k_}	1.111111e-01
o_e,9	p,:p_}	1.111111e-01
o_e,9	u,:u	1.111111e-01
o_e,9	n,:n	1.111111e-01
o_e,9	i,:i	1.111111e-01
o_e,9	#	1.111111e-01
o_e,9	m,:m	1.111111e-01
o_e,9	n_g,:N	1.111111e-01
o_e,9	t,:t_}	1.111111e-01
k_e,kh_E	#	5.000000e-01
k_e,kh_E	n_g,:N	5.000000e-01
u_m,u_:m	#	1.000000e+00
d_a,t_6	n_g,:N	5.000000e-01
d_a,t_6	#	5.000000e-01
i_t,i_:t_}	#	1.000000e+00
d,t	y_u,y	1.304348e-01
d,t	o_u,o_:u	1.449275e-02
d,t	i_u,i_:u	1.449275e-02
d,t	o_k,O_:k_}	1.449275e-02
d,t	u_k,U_:k_}	1.449275e-02
d,t	u_t,u_:t_}	1.449275e-02
d,t	e_i,e_:i	1.449275e-02
d,t	o_i,O_:i	1.449275e-02
d,t	e_p,E_:p_}	1.449275e-02
d,t	u_i,u_:i	1.449275e-02
