source	target	weight
o__	ax	4.873498e-06
o__	ow	6.183029e-06
y__	iy	3.073713e-06
j_.	jh_ey	3.292514e-06
k_.	k_ey	3.292249e-06
m_-	eh_m	3.319526e-06
m_.	eh_m	6.584658e-06
s_.	z	2.771672e-06
s_.	ih_z	3.292566e-06
s_.	eh_s	3.291741e-06
-_n	#	2.844681e-06
'_m	ax_m	3.081645e-06
i_.	ay	4.919127e-06
b_.	b_iy	4.357892e-06
3	th_r	3.270940e-06
l_.	eh_l	4.938635e-06
2	t_uw	4.961251e-06
'_e	eh	8.690164e-06
r_.	t_er	3.125968e-06
r_.	aa_r	4.938678e-06
v_v	v	1.257612e-05
w__	uw	3.118044e-05
c_-	s_iy	6.492892e-06
e_.	iy	4.450285e-06
4	ao_r	4.938965e-06
n_.	eh_n	4.938277e-06
n_.	n	2.027689e-06
d_.	d_iy	7.485309e-06
f_j	f_y	4.186730e-06
c_.	k	2.841786e-06
c_.	s_iy	8.215881e-06
s__	s	3.976990e-06
s__	#	4.907461e-06
__s	eh_s	2.923692e-06
g_.	jh_iy	4.918158e-06
x_x	k_s	1.139971e-05
v_s	f_s	2.790684e-06
s_j	sh	1.152358e-05
s_j	s_zh	5.651354e-06
e_y	eh	1.682836e-05
e_y	ey	4.154080e-04
e_y	iy	2.826696e-03
e_y	ay	2.220681e-04
b_l	b_l	6.000065e-04
f_i	f_ay	7.143693e-04
f_i	f_iy	1.951065e-04
f_i	f_ih	1.001143e-03
f_i	f_ax	1.697827e-04
e_e	iy	3.065653e-03
l_'	l	1.225035e-05
s_l	s_l	1.096899e-04
a_y	#	2.629204e-06
a_y	iy	7.260827e-05
a_y	eh	1.718054e-05
a_y	ey	2.339945e-03
a_y	ay	1.646983e-04
d_z	jh	6.152274e-05
k_j	k_y	2.888528e-06
u_a	w_ey	2.812822e-05
u_a	y_uw	1.790210e-06
u_a	w_aa	5.544243e-05
u_a	w_ax	4.446129e-05
u_a	ao	2.747072e-06
u_a	uw_ax	4.437037e-06
e_p	iy_p	1.097436e-05
e_p	eh_p	1.404425e-04
t_t	ch	3.291289e-06
t_t	t	1.824200e-03
t_t	dx_ax	1.997211e-05
t_t	ih_t	1.325011e-04
t_t	dx	2.302915e-03
a_v	ae_v	1.998130e-04
a_v	ax_v	1.193280e-04
a_v	ey_v	3.212122e-04
a_v	v	3.933310e-05
a_v	aa_v	1.224929e-04
y_b	ih_b	3.720869e-06
x_y	z_ay	1.316357e-05
t_z	s	6.073706e-06
t_z	t_s	1.215559e-03
t_z	t_z	1.968332e-04
t_z	dx	3.284656e-06
-_m	m	1.592232e-05
p_h	f	1.992531e-03
p_h	iy_v	9.877928e-06
p_h	k_f	2.712022e-06
l_-	l	5.579529e-06
l_-	ax_l	2.903383e-06
k_l	k_l	1.388495e-04
o_-	uw	5.784915e-06
o_-	ow	1.824968e-05
s_u	sh_uw	7.562182e-06
s_u	s_ah	5.746143e-04
s_u	s_er	3.299184e-06
s_u	zh_uw	9.862850e-06
s_u	zh	1.645103e-05
s_u	zh_ax	4.237030e-06
s_u	s_ax	4.504327e-04
s_u	sh_ao	3.112664e-06
s_u	s_w	4.174986e-06
s_u	s_uh	3.910981e-06
s_u	s_uw	5.113151e-04
s_u	zh_w	1.313254e-05
s_u	sh_uh	6.855631e-05
s_g	s_k	6.478090e-06
y_e	y_ax	4.683330e-06
y_e	y_ey	7.640358e-06
y_e	ay	6.051398e-05
y_e	y_eh	1.405383e-04
y_e	ey	1.864241e-06
y_e	y	8.910305e-05
y_e	y_iy	6.122817e-06
y_e	y_ih	4.330883e-06
o_c	aa_k	1.133550e-04
o_c	ao_k	2.256971e-06
o_c	ax_s	1.759033e-05
o_c	ax	9.763706e-06
o_c	ow_k	4.344191e-06
o_c	aa	2.897588e-05
o_c	ao	6.653166e-06
o_c	ax_k	8.518072e-05
o_c	ow_s	3.567661e-05
o_c	ow_sh	3.808688e-05
o_c	ow	3.183776e-05
t_l	t_l	1.017827e-05
t_l	ax_l	2.623542e-05
d_d	d	3.104641e-04
d_d	dx	6.077693e-04
d_d	dx_ax	3.190095e-05
z_e	z_iy	7.895603e-05
z_e	z_eh	2.389940e-04
z_e	z	2.430785e-04
z_e	z_ey	2.939462e-05
z_e	z_ih	4.677918e-05
z_e	z_ax	7.073692e-05
z_e	ih	3.901489e-06
z_e	t_s	2.729182e-06
s_s	eh_s	4.071186e-06
s_s	s	5.461465e-03
s_s	ax_s	1.035166e-04
s_s	s_ax	3.345103e-06
s_s	z	3.107188e-05
s_s	sh	1.186511e-04
e_j	ey_hh	3.725457e-06
e_j	ey_y	3.001608e-05
