source	target	weight
ah_f	o_u	5.703282e-05
k_f	p_h	2.712022e-06
uw_w	o_u	5.318718e-06
ey_eh	j_e	3.876485e-06
ey_eh	a	1.983147e-05
dx_ey	d_e	4.599943e-06
dx_ey	t_e	5.798338e-06
d_ey	d_'	2.530373e-06
d_ey	d_e	1.405841e-04
d_ey	d_a	3.665062e-04
sh_r	s_r	2.298425e-05
d_aw	a_o	8.043535e-06
l_s	l_s	5.950926e-06
p_uh	p_u	1.394125e-04
ay_p	i_p	7.893305e-06
ay_p	y_p	4.393958e-06
zh_ay	g_i	4.573361e-06
f_ey	f_e	1.773056e-05
f_ey	f_a	9.173271e-05
ax_ch	u_c	4.191907e-06
ax_ch	i_t	5.822437e-06
ax_ch	a_t	5.055329e-06
ey_sh	.	3.292523e-06
ey_sh	#	3.292777e-06
ey_sh	a_c	6.432892e-06
f_y	f_j	4.186730e-06
ch_ih	c_e	5.207216e-06
ch_ih	c_i	5.268225e-05
t_z	t_z	1.968332e-04
ey_zh	i_j	3.066459e-06
ey_zh	a_s	1.334220e-05
ah_t	a_t	2.865252e-05
ah_t	u_t	3.394803e-05
r_m	r_m	1.268143e-05
l_jh	l_g	3.482125e-06
n_ah	n_a	9.258140e-06
n_ah	n_u	1.746831e-04
n_ah	n_o	1.576948e-05
n_ah	n_e	2.753540e-06
ch_ay	h_i	4.093478e-06
uh_dx	o_d	6.111452e-06
uw_iy	o_y	2.049277e-06
uw_iy	u_i	6.153871e-06
f_uw	f_u	9.311865e-05
ow_zh	o_s	2.070538e-05
oy_eh	o_e	3.290639e-06
k_ch	c_t	8.000840e-05
g_ay	g_y	1.518843e-05
dx_ay	d_i	2.096269e-06
l_uh	l_u	1.572806e-05
ow_y	o_j	2.581324e-06
dx_ow	d_o	1.947262e-04
dx_ow	t_o	5.516948e-04
sh_uh	s_u	6.855631e-05
ay_m	i_m	9.750851e-05
ay_m	y_m	1.194189e-05
ay_iy	a_i	4.797906e-06
jh_y	g_i	4.676689e-06
ey_iy	e_i	3.782520e-06
b_ay	b_i	3.476528e-04
b_ay	b_a	1.243198e-05
b_ay	b_y	1.164538e-04
aw_dx	u_t	1.876086e-06
s_y	c_i	9.954232e-06
th_r	3	3.270940e-06
s_zh	s_j	5.651354e-06
n_aa	n_a	4.437758e-04
n_aa	n_o	5.605105e-04
g_ey	g_a	3.657446e-04
g_ey	g_e	1.751711e-06
p_aw	l_b	3.292644e-06
jh_ae	j_a	3.876450e-04
ey_ch	h_.	3.292374e-06
ey_ch	h	2.798760e-05
ey_ch	a_t	4.042081e-06
iy_er	i_a	2.470944e-06
y_ay	y_i	2.338503e-06
dx_aa	d_o	7.532656e-06
dx_aa	t_a	1.451659e-05
dx_aa	d_a	1.056664e-05
ch_w	t_u	1.827277e-06
t_aa	t_a	4.057656e-04
t_aa	t_o	4.282750e-04
ay_jh	i_g	2.579436e-06
d_ay	d_i	5.538884e-04
d_ay	d_y	1.574155e-04
k_uh	q_u	3.259135e-06
k_uh	c_u	2.545629e-05
k_uh	k_u	2.714861e-05
ey_ow	e_o	1.394005e-05
dx_uw	d_u	1.009669e-05
tr_ay	t_w	6.476743e-06
zh_ah	j_a	3.230136e-06
t_ay	t_i	4.919442e-04
t_ay	t_y	1.709333e-04
m_uh	m_u	4.390174e-05
m_uh	m_o	6.888713e-06
p_ey	p_e	5.262514e-05
p_ey	p_a	3.386239e-04
f_w	f_u	1.147383e-05
jh_ey	j_.	3.292514e-06
jh_ey	j_a	7.620272e-05
jh_ey	g_e	3.238612e-06
jh_ey	j_e	2.823547e-06
jh_ey	-_j	3.287402e-06
jh_ey	j	1.346160e-05
g_eh	g_a	3.613895e-06
g_eh	g_e	1.689553e-04
g_eh	u_e	2.279283e-06
f_ah	f_u	2.217221e-04
g_uh	g_u	7.806257e-06
ch_uh	h_u	2.869716e-06
ch_uh	t_u	2.297989e-05
uh_k	u_k	9.950373e-06
uh_k	o_k	2.127175e-05
jh_aa	j_o	1.844422e-04
jh_aa	j_a	6.145816e-05
jh_eh	j_e	5.002199e-04
jh_eh	g_e	6.369732e-04
w_ae	w_a	1.043742e-04
iy_ah	i_a	3.241328e-06
sh_y	c_i	7.185766e-06
sh_y	x_i	3.292643e-06
sh_y	t_i	1.554002e-05
ao_z	o_s	6.044179e-06
n_v	n_v	1.171141e-05
ay_ey	a	2.224620e-06
t_uh	t_u	1.253763e-05
iy_ay	i	7.932541e-06
k_th	t_h	8.669194e-06
er_ey	r_a	1.185508e-05
v_aw	v_o	1.849692e-06
p_ch	p_t	3.167127e-05
v_uw	v_u	9.727049e-06
b_ah	b_o	8.919779e-06
b_ah	b_u	8.124461e-04
b_ah	b_a	1.092017e-05
uw_ey	u_e	6.462560e-06
r_uh	r_u	7.887853e-06
aa_y	a_j	6.324612e-06
jh_ao	j_o	4.180886e-05
ay_eh	i	4.819158e-06
ay_eh	a_e	5.815315e-06
ax_w	u	2.060332e-05
ax_w	a_w	8.948533e-05
ax_w	o_w	6.888128e-06
