source	target	weight
l_e	r_e	1.732857e-03
l_o	r_o	1.732857e-03
z_z	cl_z	8.664286e-03
n_e	n_e	1.732857e-03
z_i	z_i	1.732857e-03
r_i	r_i	1.732857e-03
m_o	m_o	1.732857e-03
m_i	m_i	1.732857e-03
j_o	j_o	1.704620e-03
w_w	cl_w	8.664286e-03
s_a	ts_a	1.732817e-03
s_a	s_a	1.732857e-03
f_e	f_e	1.732857e-03
y_y	cl_y	8.660024e-03
t_i	t_i	1.732861e-03
d_a	d_a	1.732857e-03
p_i	p_i	1.732857e-03
f_u	f_u	1.732857e-03
f_o	f_o	1.732857e-03
m_m	cl_my	8.664286e-03
m_m	cl_m	8.664286e-03
m_a	m_a	1.732857e-03
n_a	n_a	1.732857e-03
v_o	v_o	1.732857e-03
m_y	my	8.660024e-03
h_i	i	3.465710e-03
h_i	h_i	1.732857e-03
l_i	r_i	1.732857e-03
j_i	j_i	1.704620e-03
f_f	cl_f	8.664286e-03
d_o	d_o	1.732857e-03
s_i	ts_i	1.732817e-03
s_i	s_i	1.732857e-03
p_o	p_o	1.732857e-03
k_k	cl_k	8.664286e-03
k_k	cl_ky	8.664286e-03
r_u	r_u	1.732857e-03
f_a	f_a	1.732857e-03
v_v	cl_b	8.664286e-03
k_w	kw	8.664286e-03
c_c	cl_ch	8.664286e-03
g_a	g_a	1.732857e-03
p_e	p_e	1.732857e-03
v_u	v_u	1.732857e-03
w_a	w_a	1.732857e-03
w_e	w_e	1.732857e-03
s_h	sh	8.664287e-03
t_s	ts	8.664486e-03
w_o	w_o	1.732857e-03
g_w	gw	8.664286e-03
b_e	b_e	1.732857e-03
w_u	w_u	1.732857e-03
g_g	cl_gy	8.664286e-03
g_g	cl_g	8.664286e-03
h_a	a	3.465710e-03
h_a	h_a	1.732857e-03
c_h	ch	8.664286e-03
b	by	4.261267e-06
l_l	cl_r	8.664286e-03
t_o	t_o	1.732861e-03
n_o	n_o	1.732857e-03
d	dy	4.261267e-06
s_u	ts_u	1.732817e-03
s_u	s_u	1.732857e-03
v_a	v_a	1.732857e-03
t_y	ty	8.660043e-03
t_e	t_e	1.732861e-03
r	ry	4.261267e-06
k_u	k_u	1.732857e-03
i	i	6.063947e-02
b_y	by	8.660024e-03
d_e	d_e	1.732857e-03
g_e	g_e	1.732857e-03
b_i	b_i	1.732857e-03
v_e	v_e	1.732857e-03
j_e	j_e	1.704620e-03
k_o	k_o	1.732857e-03
s_e	s_e	1.732857e-03
s_e	ts_e	1.732817e-03
y_i	y_i	1.732857e-03
y_i	i	1.910024e-02
j	j	2.883638e-04
u	u	6.063947e-02
e	e	6.063947e-02
y_o	y_o	1.732857e-03
y_o	o	1.910024e-02
n_y	ny	8.660024e-03
m_u	m_u	1.732857e-03
s_o	s_o	1.732857e-03
s_o	ts_o	1.732817e-03
p_p	cl_py	8.664286e-03
p_p	cl_p	8.664286e-03
o	o	6.063947e-02
d_y	dy	8.660024e-03
j_j	cl_j	1.732857e-02
y_e	y_e	1.732857e-03
y_e	e	1.910024e-02
y	cl_y	4.261267e-06
v_i	v_i	1.732857e-03
h_u	u	3.465710e-03
h_u	h_u	1.732857e-03
g_y	gy	8.660024e-03
l_u	r_u	1.732857e-03
y_u	y_u	1.732857e-03
y_u	u	1.910024e-02
w_i	w_i	1.732857e-03
k_i	k_i	1.732857e-03
s_s	cl_s	8.664286e-03
s_s	cl_sh	8.664285e-03
j_a	j_a	1.704620e-03
p_y	py	8.660024e-03
g_i	g_i	1.732857e-03
r_o	r_o	1.732857e-03
j_y	j	8.517108e-03
g_u	g_u	1.732857e-03
h_e	e	3.465710e-03
h_e	h_e	1.732857e-03
n_u	n_u	1.732857e-03
k_e	k_e	1.732857e-03
k	ky	4.261267e-06
h_y	hy	8.660024e-03
k_a	k_a	1.732857e-03
g	gy	4.261267e-06
d_d	cl_dy	8.664286e-03
d_d	cl_d	8.664286e-03
h	hy	4.261267e-06
d_u	d_u	1.732857e-03
p	py	4.261267e-06
r_r	cl_r	8.664286e-03
r_r	cl_ry	8.664286e-03
t_a	t_a	1.732861e-03
t_u	t_u	1.732861e-03
k_y	ky	8.660024e-03
y_a	a	1.910024e-02
y_a	y_a	1.732857e-03
a	a	6.063947e-02
h_o	o	3.465710e-03
h_o	h_o	1.732857e-03
t	cl	2.368643e-07
t	ty	4.261276e-06
p_u	p_u	1.732857e-03
z_u	z_u	1.732857e-03
f_i	f_i	1.732857e-03
h_h	cl_hy	8.664286e-03
h_h	cl_h	8.664286e-03
r_e	r_e	1.732857e-03
c_l	cl	1.732857e-03
b_a	b_a	1.732857e-03
b_b	cl_by	8.664286e-03
b_b	cl_b	8.664286e-03
n	ny	4.261267e-06
n	N	1.732857e-03
n_n	cl_n	8.664286e-03
n_n	cl_ny	8.664286e-03
r_a	r_a	1.732857e-03
p_a	p_a	1.732857e-03
b_o	b_o	1.732857e-03
z_o	z_o	1.732857e-03
z_e	z_e	1.732857e-03
m	my	4.261267e-06
g_o	g_o	1.732857e-03
m_e	m_e	1.732857e-03
r_y	ry	8.660024e-03
b_u	b_u	1.732857e-03
t_t	cl_ty	8.664268e-03
t_t	cl_t	8.664267e-03
t_t	cl	8.664086e-03
j_u	j_u	1.704620e-03
n_i	n_i	1.732857e-03
d_i	d_i	1.732857e-03
l_a	r_a	1.732857e-03
z_a	z_a	1.732857e-03
m_u,m_u	#	1.000000e+00
y_u,y_u	#	1.000000e+00
s_o,s_o	#	1.000000e+00
w_i,w_i	#	1.000000e+00
l_e,r_e	#	1.000000e+00
l_o,r_o	#	1.000000e+00
z_z,cl_z	o,o	2.000000e-01
z_z,cl_z	u,u	2.000000e-01
z_z,cl_z	a,a	2.000000e-01
z_z,cl_z	i,i	2.000000e-01
z_z,cl_z	e,e	2.000000e-01
s_u,ts_u	#	1.000000e+00
s_i,ts_i	#	1.000000e+00
t_t,cl	s_e,ts_e	2.000000e-01
t_t,cl	s_a,ts_a	2.000000e-01
t_t,cl	s_i,ts_i	2.000000e-01
t_t,cl	s_u,ts_u	2.000000e-01
t_t,cl	s_o,ts_o	2.000000e-01
h_i,i	#	1.000000e+00
h_a,a	#	1.000000e+00
n_o,n_o	#	1.000000e+00
s_s,cl_sh	h_u,u	2.000000e-01
s_s,cl_sh	h_e,e	2.000000e-01
s_s,cl_sh	h_a,a	2.000000e-01
s_s,cl_sh	h_i,i	2.000000e-01
s_s,cl_sh	h_o,o	2.000000e-01
p_o,p_o	#	1.000000e+00
w_o,w_o	#	1.000000e+00
v_e,v_e	#	1.000000e+00
p_y,py	o,o	2.000000e-01
p_y,py	i,i	2.000000e-01
