source	target	weight
b_u	b_u	4.923318e-04
b_u	b_M_	4.873190e-07
p_u	p_u	1.279928e-04
l_o	l_o	8.068165e-05
b_a	b_6	3.967731e-04
b_a	b	1.378309e-07
b_w	b_w	3.249672e-03
g_y	g_j	3.251284e-03
n_e	n_e_o	3.874444e-05
r_e	4_e_o	3.318238e-04
n_i	n_i	1.229212e-04
h_y	h_j	3.251275e-03
m_w	m_w	1.395206e-03
h_o	h_o	3.969031e-04
h_o	h_w	1.788405e-05
k_w	k_w	1.391107e-03
j_u	dz\_u	4.923330e-04
j_u	dz\_M_	4.873841e-07
g	g	9.153490e-03
g	g_	1.010085e-04
k_e	k_e_o	3.834485e-05
a_t	6_t	3.239098e-03
h_i	h_i	4.866749e-04
r_o	4_w	1.788393e-05
r_o	4_o	3.969029e-04
d_y	d_j	3.251275e-03
　_6		1.010085e-04
j_e	dz\_e_o	3.318251e-04
h_u	h_u	4.923320e-04
h_u	h_M_	4.873298e-07
m_e	m_e_o	3.874223e-05
s_i	s_i	4.825346e-04
s_o	s_o	3.927683e-04
s_o	s_w	1.687144e-05
j_o	dz\_w	1.788468e-05
j_o	dz\_o	3.969043e-04
k_u	k_u	1.274423e-04
j_j	ts\h_	1.010085e-04
j_j	ts\h	1.777749e-02
g_o	g_o	3.969073e-04
g_o	g_w	1.788623e-05
l_u	l_u	1.279906e-04
r_a	4	1.378309e-07
r_a	4_6	3.967731e-04
d_e	d_e_o	3.318238e-04
j_a	dz\_6	3.967746e-04
j_a	dz\	1.378516e-07
e_u	M_	1.010085e-04
e_u	M	1.696942e-02
s_u	s_M_	4.475714e-07
s_u	s_u	4.882545e-04
g_e	g_e_o	3.318277e-04
b	b_	1.010085e-04
b	b	9.153530e-03
n_a	n_6	8.048756e-05
r_u	4_M_	4.873190e-07
r_u	4_u	4.923318e-04
d_w	d_w	3.249672e-03
g_g	k_t_	1.010085e-04
g_g	k_t	1.777749e-02
　_j	6	1.010085e-04
l_w	l_w	1.395206e-03
s_e	s_e_o	3.280800e-04
r_i	4_i	4.866747e-04
s_y	s_j	3.237195e-03
t_a	t_6	8.048892e-05
n_o	n_o	8.068276e-05
s_s	s_t_	1.010085e-04
s_s	s_t	1.777749e-02
u_i	M__i	1.706706e-02
b_i	b_i	4.866747e-04
s	s_	1.010085e-04
s	s	9.303993e-03
p_e	p_e_o	3.874130e-05
i_l	i_l	2.223788e-03
i_t	i_t	2.223791e-03
t_o	t_o	8.068488e-05
s_a	s_6	3.926383e-04
s_a	s	1.263334e-07
g_w	g_w	3.249680e-03
p_o	p_o	8.068488e-05
k_k	k_t	1.777749e-02
k_k	k_t_	1.010085e-04
k_o	k_o	8.019591e-05
w	w	2.156124e-02
p_y	p_j	1.402473e-03
p_p	p_t_	1.010085e-04
p_p	p_t	1.777749e-02
h	h_	1.010085e-04
h	h	9.153528e-03
l_e	l_e_o	3.874223e-05
e_t	e_o_t	3.807395e-03
t	t_	1.010085e-04
t	t	4.647513e-02
t_t	t_t	1.777749e-02
t_t	t_t_	2.020170e-04
