source	target	weight
r_i	z`_i`	6.797822e-04
q_v	ts\h_y	6.634868e-04
j_v	ts\_y	6.634868e-04
m_v	m_y	6.435845e-04
b_a	p_A	6.461120e-04
b_a	p_a	7.399765e-04
v	y	3.801888e-03
v	j_y{	5.526048e-07
v	j_yE	7.050931e-04
u_n	u@_:n	1.269168e-02
u_n	yE_:n	2.170837e-03
y_e	j_ie	7.050920e-04
g_u	k_ua	7.283118e-05
g_u	k_u	6.458694e-04
h_e	x_7	6.458692e-04
h_e	x_@	6.951907e-04
q_u	ts\h_yE	1.060593e-04
q_u	ts\h_y	7.050931e-04
q_u	ts\h	1.268252e-07
q_u	ts\h_ua	2.603943e-06
q_u	ts\h_y{	7.050930e-04
t_i	th_i	1.529510e-03
t_i	th	2.024932e-03
y_u	y	1.551205e-02
y_u	j_y{	7.050931e-04
y_u	j_yE	3.313571e-04
l	l	1.644433e-02
k_i	kh	2.024932e-03
k_i	kh_i	1.529510e-03
k_a	kh_a	7.394106e-04
k_a	kh_A	6.459010e-04
g	k	1.644428e-02
g_i	k	2.024932e-03
g_i	k_i	1.529512e-03
z_u	ts	2.435193e-08
z_u	ts_u	6.622909e-04
z_u	ts_ua	1.618217e-04
f_i	f	2.025223e-03
f_i	f_i	1.529981e-03
x_i	s\_i	1.587067e-03
x_i	s\	2.052454e-03
x	s\	1.110025e-02
o	U	3.645597e-03
o	iAU	4.197506e-08
o	o	3.361912e-03
m_u	m_ua	7.350836e-05
m_u	m	1.035565e-08
m_u	m_u	6.460800e-04
e_i	e_:\i	1.339677e-02
s_o	s_U	6.622561e-04
s_o	s_o	6.655316e-04
i_u	i@U	9.869766e-03
l_e	l_7	6.458689e-04
l_e	l_@	6.951903e-04
c_a	tsh_A	6.623123e-04
c_a	tsh_a	7.942947e-04
r_o	z`_o	6.654394e-04
r_o	z`_U	6.621563e-04
i_n	i_:n	8.314718e-03
f	f	1.638609e-02
n_u	n_ua	7.279087e-05
n_u	n_u	6.458689e-04
f_v	f_y	6.435845e-04
k_e	kh_7	6.458689e-04
k_e	kh_@	6.951903e-04
m	m	1.638609e-02
n_v	n_y	6.433645e-04
d_e	t_7	6.458689e-04
d_e	t_@	6.951903e-04
c_o	tsh_U	6.622561e-04
c_o	tsh_o	6.655316e-04
b_i	p_i	1.529981e-03
b_i	p	2.025223e-03
g_e	k_7	6.458694e-04
g_e	k_@	6.951913e-04
v_e	yE	1.551205e-02
v_e	j_yE	7.050930e-04
m_e	m_7	6.460800e-04
m_e	m_@	6.955782e-04
g_v	k_y	6.433650e-04
a	iA	3.022827e-08
a	A	3.641863e-03
a	ia	3.340662e-08
a	a	3.692571e-03
y_a	j_ia	8.644121e-04
y_a	j_iA	7.050921e-04
y_a	j_iE	2.706156e-08
b	p	1.638609e-02
h_a	x_A	6.459013e-04
h_a	x_a	7.394113e-04
c_h	ts`h	1.833242e-02
m_a	m_A	6.461120e-04
m_a	m_a	7.399765e-04
m_i	m	2.025223e-03
m_i	m_i	1.529981e-03
e_n	@_:n	1.255942e-02
h_i	x_i	1.529511e-03
h_i	x	2.024932e-03
w	w_ua	3.801710e-08
w	w	7.087030e-04
u_a	w_uA	6.941662e-04
u_a	w_ua	2.086840e-03
u_a	uA	1.481788e-02
u_a	ua	4.087548e-02
z_a	ts_a	7.942947e-04
z_a	ts_A	6.623123e-04
a_i	:\i	4.683125e-04
a_i	ia_:\i	9.671618e-03
a_i	a_:\i	1.267002e-02
a_i	ua_:\i	1.893422e-06
h_o	x_o	6.503501e-04
h_o	x_U	6.458221e-04
p_u	ph_u	6.460800e-04
p_u	ph	1.035565e-08
p_u	ph_ua	7.350836e-05
u_e	w_u@	7.050931e-04
u_e	yE	1.551205e-02
u_e	j_yE	7.050930e-04
l_u	l_ua	7.278865e-05
l_u	l_u	6.458689e-04
r	z`	1.199298e-02
p_i	ph	2.025223e-03
p_i	ph_i	1.529981e-03
k_u	kh_ua	7.278865e-05
k_u	kh	1.026040e-08
k_u	kh_u	6.458689e-04
i_e	ie	9.871274e-03
i_e	j_ie	7.050925e-04
p	ph	1.638609e-02
#	w_o,w_U	1.396648e-03
#	u_a,w_uA	1.396648e-03
#	u_e,w_u@	1.396648e-03
#	u_o,w_uo	1.396648e-03
#	w_o,w_uo	1.396648e-03
#	i,i	1.396648e-03
#	z_a,ts_a	1.396648e-03
#	y_a,j_iA	1.396648e-03
#	i_a,j_iA	1.396648e-03
#	w,w	1.396648e-03
#	y_a,j_ia	1.396648e-03
#	y_i,i	1.396648e-03
#	z_e,ts_7	1.396648e-03
#	e,@	1.396648e-03
#	a_o,AU	1.396648e-03
#	a_i,a_:\i	1.396648e-03
#	e,7	1.396648e-03
#	o,o	1.396648e-03
#	p_a,ph_A	1.396648e-03
#	y_o,j_iAU	1.396648e-03
#	g_a,k_A	1.396648e-03
#	g_u,k_u	1.396648e-03
#	c_v,tsh_y	1.396648e-03
#	b_a,p_A	1.396648e-03
#	r_v,z`_y	1.396648e-03
#	h_u,x_u	1.396648e-03
#	j_v,ts\_y	1.396648e-03
#	a,A	1.396648e-03
#	k_v,kh_y	1.396648e-03
#	g_o,k_U	1.396648e-03
#	g_i,k_i	2.793296e-03
#	r,z`	2.374302e-02
#	n_e,n_@	1.396648e-03
#	c_e,tsh_7	1.396648e-03
#	n_o,n_o	1.396648e-03
#	h_o,x_o	1.396648e-03
#	h_v,x_y	1.396648e-03
#	t_e,th_@	1.396648e-03
#	u,u	1.396648e-03
#	t_u,th_u	1.396648e-03
#	e_i,e_:\i	1.396648e-03
#	g_a,k_a	1.396648e-03
#	i_o,j_iAU	1.396648e-03
#	m_i,m	4.189944e-03
#	s,s	2.374302e-02
#	c_u,tsh_u	1.396648e-03
#	d_i,t	4.189944e-03
#	r_i,z`_i`	1.396648e-03
#	y_i,j_i	1.396648e-03
#	b_o,p_uo	1.396648e-03
#	f_o,f_uo	1.396648e-03
#	s_a,s_a	1.396648e-03
#	l_a,l_A	1.396648e-03
#	k_e,kh_@	1.396648e-03
#	m_u,m_u	1.396648e-03
#	y_u,j_y{	1.396648e-03
#	g,k	3.212291e-02
#	r_a,z`_a	1.396648e-03
#	y,j	1.117318e-02
#	p_i,ph	4.189944e-03
#	i_o,j_iU	1.396648e-03
#	i_e,j_ie	1.396648e-03
#	p_a,ph_a	1.396648e-03
#	d_o,t_U	1.396648e-03
#	q_i,ts\h_i	2.793296e-03
#	c_a,tsh_a	1.396648e-03
#	z_v,ts_y	1.396648e-03
#	n_i,n	4.189944e-03
#	t_i,th_i	2.793296e-03
#	c_a,tsh_A	1.396648e-03
#	j_u,ts\_y{	1.396648e-03
#	m_v,m_y	1.396648e-03
#	y_u,y	1.396648e-03
#	r_o,z`_U	1.396648e-03
#	k_a,kh_A	1.396648e-03
#	h_i,x_i	2.793296e-03
#	g_e,k_7	1.396648e-03
#	n_a,n_A	1.396648e-03
#	n,n	3.212291e-02
#	d_a,t_A	1.396648e-03
#	v_e,j_yE	1.396648e-03
#	c,tsh	2.374302e-02
#	b_i,p	4.189944e-03
#	p_u,ph_u	1.396648e-03
#	x_i,s\	4.189944e-03
#	a,a	1.396648e-03
#	x_u,s\_y{	1.396648e-03
#	s_a,s_A	1.396648e-03
#	g_i,k	4.189944e-03
#	e_n,@_:n	1.396648e-03
#	s_o,s_o	1.396648e-03
#	w_e,w_u@	2.793296e-03
#	h_i,x	4.189944e-03
#	o_u,@U	1.396648e-03
#	i,j	5.586592e-03
#	b_e,p_@	1.396648e-03
#	r_e,z`_7	1.396648e-03
#	l_a,l_a	1.396648e-03
#	p_e,ph_@	1.396648e-03
